id,company,gap,location,status,priority,opened_at,note
9f6f42aa-0f8a-45f1-a996-a01306717ac2,רמון,ברז דולף,שביל,טרם הועלה,גבוה,2026-08-04,השביל בין הפינות
92de44e0-dd83-4687-a144-3c709548a420,בשור,פח אשפה מלא וגדוש,ספריית קמנים,טופל,גבוה,2026-08-28,צריך להזמין קבלן חיצוני
ef48f77b-6e0a-4345-bec0-0ed84b5acc20,רמון,אין מים חמים,מגורי בנים,טרם הועלה,בינוני,2026-07-12,
849f6d92-b822-467a-8d89-d36a7a973cc4,רמון,ספסל שבור,רחבת רמון,בטיפול,גבוה,2026-04-04,
49753bda-2e43-433c-9087-b68ef0844187,תמר,בור בריצוף,פינת פריסה,בטיפול,גבוה,2026-08-31,חומרים בדרך
c0d5660d-5fef-4568-9772-d37e2651413d,צין,ברז דולף,מגורי בנים,טרם הועלה,נמוך,2026-04-18,יטופל בסבב הבא
f4d5e5e8-7d6e-45da-9b39-da16d37de02d,בשור,שילוט חסר,ספריית קמנים,טרם הועלה,גבוה,2026-04-01,
2c34d51c-b055-49eb-ba4c-3636e409db6d,פארן,ארון בגדים שבור,ספריית קמנים,בטיפול,בינוני,2026-07-21,יטופל בסבב הבא
70f3a8af-cc6c-49e3-bb8f-626640b82490,צין,חלון בלי רשת יתושים,"פינת גלח""צ",טרם הועלה,נמוך,2026-06-11,יטופל בסבב הבא
2db136aa-b618-493a-8847-34908cdbba29,תמר,משטח בטון סדוק,"דקצ""ו (דק קמנים)",בטיפול,בינוני,2026-04-30,יטופל בסבב הבא
239597f7-c477-421f-b485-7bb85fd7210b,פארן,בור בריצוף,מגורי בנים,בטיפול,גבוה,2026-08-12,מחכים לאישור תקציב
b3618b3d-7b2f-4fad-81d9-4a2016ec747f,רמון,שילוט חסר,דשא,טופל,גבוה,2026-09-01,הדשא באזור הרחבה
b690415a-b7aa-460a-aa7d-8eb1bb38f15b,תמר,חלון סדוק,שביל,טרם הועלה,בינוני,2026-03-18,השביל ליד מגורי בנים
ea51d043-9bdf-418a-ad44-662fc5088dc1,פארן,מזגן מטפטף,"דקצ""ו (דק קמנים)",בטיפול,גבוה,2026-05-13,יטופל בסבב הבא
64550aab-4b08-43e9-bdb1-5df6bae55add,פארן,נורה שרופה,רחבת רמון,טרם הועלה,בינוני,2026-05-20,מחכים לאישור תקציב
9842ef62-6661-4ef2-8740-ea1e3955ebb3,צין,כבל חשמל מונח על הרצפה,שביל,בטיפול,בינוני,2026-07-30,השביל בין הפינות
5d627f3d-b5cd-4c44-b822-9755a46734fb,תמר,חלון בלי רשת יתושים,פינת ישיבה,טרם הועלה,נמוך,2026-07-10,
7063dd24-8a8e-4336-8463-1e60cc6c7f0f,תמר,כביש גישה עם בור,"פינת גלח""צ",בטיפול,נמוך,2026-06-01,דחוף לטפל השבוע
d77be642-ead8-4fb6-a516-66e66e666d74,תמר,אסלה סתומה,"פינת קק""ס",טופל,בינוני,2026-05-28,
585be26f-c50c-4f45-9e1c-7622865ab0e3,בשור,מזרן קרוע,מגורי בנים,טרם הועלה,בינוני,2026-07-28,יטופל בסבב הבא
68dd009c-2359-4d13-a2ae-36c214f8bd66,רמון,מדרגה רופפת,פינת ישיבה,טרם הועלה,גבוה,2026-07-06,יטופל בסבב הבא
c6747681-f933-4a54-ad90-86d1a906e5b3,רמון,מדחום/גלאי עשן לא תקין,ספריית קמנים,טופל,בינוני,2026-06-22,
fa05ed0b-7f9f-4f34-94e0-fbaf3863fc86,תמר,ספסל שבור,"פינת גלח""צ",בטיפול,בינוני,2026-03-21,
3c08f4c0-b455-4493-ae69-b4cee25795f0,צין,שולחן שבור,"פינת גלח""צ",טרם הועלה,גבוה,2026-04-02,
ef99653a-fe6e-4661-b681-1d1597eee962,רמון,בור בריצוף,מגורי בנים,בטיפול,גבוה,2026-06-16,חומרים בדרך
373677be-a63f-4aa8-8d0c-2b62939f98f8,צין,מדחום/גלאי עשן לא תקין,מגורי בנים,בטיפול,גבוה,2026-06-10,צריך להזמין קבלן חיצוני
1ab47d69-8771-4d0b-94fe-db543816d45a,פארן,מיטה שבורה,פינת ישיבה,טרם הועלה,בינוני,2026-04-02,
c084399b-701f-47f2-9acb-a310219bb79c,תמר,גדר פרוצה,מגורי בנים,טופל,בינוני,2026-05-10,
170c4542-9b70-49dd-a40c-85bbb661458d,תמר,צבע מתקלף,פינת ישיבה,בטיפול,בינוני,2026-08-16,
4204d661-daf5-4c45-b855-e8a3081a74b6,פארן,בור בריצוף,מתחם קמנים,טרם הועלה,נמוך,2026-09-06,חומרים בדרך
1c061d73-ff91-4ec0-a506-3163ac81a672,בשור,צבע מתקלף,מגורי בנות,טרם הועלה,בינוני,2026-04-29,דחוף לטפל השבוע
a72b5486-ebe7-4d34-944d-b3486b3bf6b3,צין,אין תאורת חירום,מתחם קמנים,טופל,בינוני,2026-06-10,חומרים בדרך
67fd5931-7bcc-422f-b05f-e7d929a50600,צין,אסלה שבורה,פינת עישון,טרם הועלה,גבוה,2026-05-06,צריך להזמין קבלן חיצוני
332d2c07-3b50-49da-b007-8f4a0237d795,בשור,נורה שרופה,"פינת קק""ס",טרם הועלה,בינוני,2026-07-15,דחוף לטפל השבוע
cbbdb989-b4bf-41c7-aee0-0dd034a82977,פארן,שולחן שבור,"פינת גלח""צ",טרם הועלה,בינוני,2026-07-07,דווח כבר פעם קודמת
773ee97a-fecc-4915-ac61-e4b523a8f1b4,צין,עמוד תאורה כבוי,שביל,טרם הועלה,גבוה,2026-08-22,השביל מול חדר האוכל
